episode_id,sec_bin,norm_content,cnt
156,316,开始了,6463
156,521,哈哈哈哈,6057
156,476,可爱捏,5748
156,376,合影,5218
156,441,哈哈哈,5061
156,361,鹰击长空鱼翔浅底万类霜天竞自由,4927
156,511,韩老魔,4176
156,223,恭迎韩天尊,4112
156,276,天使投资人,3982
156,224,恭迎韩天尊,3881
156,362,鹰击长空鱼翔浅底万类霜天竞自由,3739
156,377,合影,3592
156,218,恭迎韩天尊,3568
156,514,韩老魔,3387
156,317,开始了,3332
156,363,鹰击长空鱼翔浅底万类霜天竞自由,3268
156,381,合影,3187
156,516,韩老魔,3177
156,522,哈哈哈哈,2983
156,217,恭迎韩天尊,2957
156,496,驽钝,2956
156,477,可爱捏,2903
156,501,夺少,2769
156,277,天使投资人,2667
156,364,鹰击长空鱼翔浅底万类霜天竞自由,2645
156,481,可爱,2603
156,497,驽钝,2586
156,191,酒驾,2568
156,334,泪目,2449
156,378,合影,2384
156,481,可爱捏,2340
156,318,开始了,2339
156,382,合影,2296
156,271,路走宽了,2293
156,216,恭迎韩天尊,2211
156,321,泪目,2197
156,202,银月代恋,2180
156,479,可爱捏,2118
156,211,恭迎韩天尊,2114
156,338,泪目了,2083
156,192,酒驾,2069
156,336,泪目了,2028
156,366,鹰击长空鱼翔浅底万类霜天竞自由,2022
156,512,韩老魔,1979
156,328,泪目,1964
156,337,泪目了,1951
156,221,恭迎韩天尊,1941
156,203,银月代恋,1881
156,442,哈哈哈,1879
156,212,恭迎韩天尊,1858
156,515,韩老魔,1843
156,344,泪目了,1842
156,276,路走宽了,1820
156,219,恭迎韩天尊,1788
156,517,韩老魔,1788
156,596,盖亚,1752
156,52,我准备好了,1749
156,339,泪目了,1743
156,222,恭迎韩天尊,1742
156,513,韩老魔,1731
156,346,泪目了,1708
156,478,可爱捏,1696
156,502,夺少,1679
156,503,夺少,1679
156,498,驽钝,1678
156,504,夺少,1677
156,272,路走宽了,1670
156,482,可爱,1642
156,329,泪目,1632
156,367,鹰击长空鱼翔浅底万类霜天竞自由,1618
156,322,泪目,1594
156,204,银月代恋,1568
156,277,路走宽了,1554
156,333,泪目,1534
156,343,泪目了,1523
156,368,鹰击长空鱼翔浅底万类霜天竞自由,1523
156,369,鹰击长空鱼翔浅底万类霜天竞自由,1511
156,379,合影,1504
156,383,合影,1500
156,372,鹰击长空鱼翔浅底万类霜天竞自由,1492
156,319,开始了,1478
156,380,合影,1462
156,214,恭迎韩天尊,1460
156,523,哈哈哈哈,1432
156,332,泪目,1389
156,201,银月代恋,1381
156,443,哈哈哈,1370
156,365,鹰击长空鱼翔浅底万类霜天竞自由,1362
156,606,盖亚,1331
156,273,路走宽了,1308
156,384,合影,1293
156,278,天使投资人,1274
156,193,酒驾,1266
156,274,路走宽了,1256
156,51,我准备好了,1255
156,386,合影,1244
156,331,泪目,1239
156,347,泪目了,1230
156,324,泪目,1223
156,482,可爱捏,1213
156,323,泪目,1182
156,387,合影,1164
156,520,哈哈哈哈,1158
156,220,恭迎韩天尊,1142
156,326,泪目,1128
156,499,驽钝,1123
156,213,恭迎韩天尊,1111
156,335,泪目了,1109
156,444,哈哈哈,1081
156,349,泪目了,1076
156,53,我准备好了,1073
156,519,韩老魔,1041
156,194,酒驾,1027
156,52,准备好了,980
156,388,合影,937
156,524,哈哈哈哈,922
156,215,恭迎韩天尊,921
156,371,鹰击长空鱼翔浅底万类霜天竞自由,885
156,373,鹰击长空鱼翔浅底万类霜天竞自由,885
156,597,盖亚,864
156,345,泪目了,860
156,278,路走宽了,855
156,209,银月代恋,847
156,327,泪目,838
156,602,盖亚,831
156,389,合影,825
156,508,夺少,824
156,330,泪目,794
156,208,银月代恋,789
156,286,天使投资人,789
156,321,开始了,787
156,607,盖亚,778
156,53,准备好了,769
156,348,泪目了,769
156,603,盖亚,766
156,385,合影,764
156,33,二刷,762
156,206,银月代恋,753
156,509,夺少,747
156,518,韩老魔,729
156,340,泪目了,724
156,510,韩老魔,722
156,279,天使投资人,715
156,51,准备好了,710
156,283,天使投资人,710
156,207,银月代恋,709
156,341,泪目了,696
156,505,夺少,695
156,281,天使投资人,669
156,483,可爱,669
156,32,二刷,666
156,342,泪目了,658
156,205,银月代恋,655
156,500,夺少,654
156,36,三刷,647
156,599,盖亚,642
156,483,可爱捏,628
156,282,天使投资人,619
156,527,哈哈哈哈,609
156,287,天使投资人,606
156,54,我准备好了,605
156,506,夺少,604
156,195,酒驾,603
156,34,二刷,594
156,370,鹰击长空鱼翔浅底万类霜天竞自由,591
156,196,酒驾,576
156,29,二刷,575
156,598,盖亚,574
156,601,盖亚,568
156,31,二刷,562
156,229,恭迎韩天尊,555
156,475,可爱捏,551
156,446,哈哈哈,550
156,447,哈哈哈,537
156,322,开始了,527
156,507,夺少,524
156,284,天使投资人,520
156,480,可爱,514
156,374,鹰击长空鱼翔浅底万类霜天竞自由,483
156,452,哈哈哈,483
156,531,哈哈哈哈,480
156,281,路走宽了,479
156,228,恭迎韩天尊,476
156,225,恭迎韩天尊,474
156,37,三刷,470
156,279,路走宽了,470
156,480,可爱捏,469
156,375,合影,468
156,1,来了来了,454
156,325,泪目,454
156,604,盖亚,454
156,440,哈哈哈,451
156,283,路走宽了,449
156,448,哈哈哈,441
156,445,哈哈哈,440
156,54,准备好了,428
156,210,恭迎韩天尊,428
156,280,天使投资人,427
156,288,天使投资人,425
156,484,可爱捏,425
156,526,哈哈哈哈,421
156,529,哈哈哈哈,415
156,528,哈哈哈哈,412
156,315,开始了,407
156,453,哈哈哈,401
156,605,盖亚,401
156,227,恭迎韩天尊,399
156,231,恭迎韩天尊,395
156,289,天使投资人,394
156,324,开始了,394
156,226,恭迎韩天尊,384
156,230,恭迎韩天尊,384
156,284,路走宽了,382
156,282,路走宽了,380
156,484,可爱,374
156,360,鹰击长空鱼翔浅底万类霜天竞自由,373
156,232,恭迎韩天尊,370
156,323,开始了,369
156,525,哈哈哈哈,364
156,486,可爱捏,359
156,43,三刷,350
156,197,酒驾,347
156,38,三刷,346
156,600,盖亚,346
156,487,可爱捏,337
156,44,三刷,335
156,608,盖亚,333
156,30,二刷,326
156,449,哈哈哈,324
156,532,哈哈哈哈,324
156,42,三刷,322
156,454,哈哈哈,318
156,275,天使投资人,313
156,233,恭迎韩天尊,307
156,1,来了,301
156,47,三刷,301
156,56,我准备好了,293
156,39,三刷,287
156,234,恭迎韩天尊,287
156,199,酒驾,286
156,28,二刷,284
156,49,三刷,283
156,280,路走宽了,283
156,2,来了来了,275
156,48,三刷,275
156,46,三刷,269
156,451,哈哈哈,262
156,235,恭迎韩天尊,257
156,59,我准备好了,253
156,530,哈哈哈哈,247
156,533,哈哈哈哈,244
156,2,来了,242
156,285,天使投资人,241
156,57,我准备好了,236
156,41,三刷,233
156,55,我准备好了,233
156,275,路走宽了,222
156,534,哈哈哈哈,222
156,200,银月代恋,221
156,3,来了来了,219
156,58,我准备好了,214
156,0,来了来了,204
156,198,酒驾,204
156,237,恭迎韩天尊,203
156,236,恭迎韩天尊,200
156,45,三刷,192
156,287,路走宽了,191
156,4,来了来了,188
156,238,恭迎韩天尊,185
156,3,来了,174
156,35,三刷,174
156,61,我准备好了,173
156,59,准备好了,171
156,56,准备好了,168
156,495,驽钝,168
156,239,恭迎韩天尊,165
156,40,三刷,164
156,55,准备好了,164
156,62,我准备好了,162
156,288,路走宽了,162
156,57,准备好了,160
156,64,我准备好了,151
156,286,路走宽了,151
156,595,盖亚,151
156,6,念头通达,148
156,450,哈哈哈,148
156,488,可爱捏,147
156,320,开始了,145
156,58,准备好了,140
156,611,盖亚,137
156,320,泪目,136
156,241,恭迎韩天尊,135
156,4,来了,134
156,0,来了,131
156,242,恭迎韩天尊,129
156,240,恭迎韩天尊,125
156,7,念头通达,123
156,243,恭迎韩天尊,121
156,60,我准备好了,120
156,335,泪目,120
156,390,合影,118
156,377,恭迎韩天尊,117
156,63,我准备好了,113
156,8,念头通达,112
156,246,恭迎韩天尊,112
156,248,恭迎韩天尊,112
156,249,恭迎韩天尊,112
156,6,来了来了,111
156,247,恭迎韩天尊,109
156,21,二刷,107
156,27,二刷,106
156,244,恭迎韩天尊,104
156,245,恭迎韩天尊,104
156,391,合影,104
156,190,酒驾,100
156,289,路走宽了,97
156,250,恭迎韩天尊,96
156,270,路走宽了,96
156,285,路走宽了,95
156,61,准备好了,94
156,485,可爱捏,91
156,392,合影,90
156,62,准备好了,89
156,16,念头通达,88
156,17,念头通达,86
156,251,恭迎韩天尊,86
156,489,可爱捏,81
156,612,盖亚,81
156,24,二刷,79
156,60,准备好了,79
156,63,准备好了,79
156,252,恭迎韩天尊,79
156,19,念头通达,77
156,64,准备好了,76
156,393,合影,75
156,18,念头通达,74
156,350,泪目了,74
156,8,来了来了,73
156,26,二刷,73
156,253,恭迎韩天尊,72
156,22,二刷,70
156,7,来了来了,69
156,336,泪目,68
156,9,念头通达,67
156,12,念头通达,67
156,376,恭迎韩天尊,67
156,397,合影,67
156,11,念头通达,66
156,6,来了,64
156,396,合影,64
156,398,合影,63
156,13,念头通达,62
156,25,二刷,61
156,609,盖亚,60
156,23,二刷,59
156,520,韩老魔,59
156,7,来了,58
156,375,恭迎韩天尊,57
156,9,来了来了,56
156,395,合影,56
156,254,恭迎韩天尊,55
156,8,来了,54
156,11,来了来了,54
156,5,念头通达,52
156,5,来了,52
156,50,我准备好了,51
156,255,恭迎韩天尊,51
156,261,恭迎韩天尊,51
156,13,来了来了,50
156,394,合影,50
156,610,盖亚,50
156,613,盖亚,50
156,256,恭迎韩天尊,48
156,50,准备好了,47
156,378,恭迎韩天尊,47
156,14,念头通达,46
156,374,恭迎韩天尊,46
156,-1,来了来了,45
156,12,来了,45
