episode_id,minute,emo_like,emo_touching,other,quote_ritual,ritual_call,role_label,viewing_status
137,-1,163.0,0.0,4.0,0.0,0.0,0.0,85.0
137,0,1734.0,0.0,35.0,1.0,1.0,0.0,700.0
137,1,35.0,0.0,30.0,1.0,0.0,1.0,12.0
137,2,487.0,0.0,669.0,17.0,26.0,11.0,33179.0
137,3,375.0,2.0,2230.0,12.0,24.0,12.0,60.0
137,4,222.0,1.0,751.0,37.0,16.0,12.0,22.0
137,5,285.0,1.0,1086.0,13.0,23.0,10.0,15.0
137,6,233.0,1.0,1559.0,19.0,16.0,3.0,18.0
137,7,51359.0,18.0,2565.0,60.0,129.0,85.0,131.0
137,8,8932.0,3.0,1363.0,32.0,64.0,52.0,46.0
137,9,297.0,1.0,943.0,22.0,15.0,14.0,9.0
137,10,272.0,3.0,1688.0,45.0,50.0,34.0,31.0
137,11,170.0,1.0,683.0,11.0,7.0,15.0,3.0
137,12,260.0,17.0,1423.0,43.0,35.0,23.0,22.0
137,13,616.0,5.0,2327.0,64.0,60.0,50.0,39.0
137,14,567.0,1.0,1578.0,25.0,26.0,31.0,33.0
137,15,859.0,3.0,1956.0,18.0,34.0,43.0,23.0
137,16,374.0,5.0,782.0,3.0,36.0,42.0,13.0
137,17,342.0,2.0,526.0,2.0,19.0,19.0,8.0
137,18,49.0,1.0,45.0,0.0,0.0,0.0,1.0
137,19,67.0,2.0,231.0,3.0,2.0,1.0,5.0
