episode_id,minute,laugh,neg,other,praise,self_mock,touching
156,-1,0.0,1.0,33.0,48.0,0.0,3.0
156,0,5.0,18.0,3058.0,3280.0,0.0,5.0
156,1,7.0,53.0,13522.0,5215.0,2.0,7.0
156,2,4.0,31.0,1556.0,245.0,5.0,1.0
156,3,10.0,51.0,666.0,474.0,5.0,13.0
156,4,8.0,101.0,909.0,495.0,11.0,57.0
156,5,14.0,108.0,536.0,302.0,0.0,21.0
156,6,31.0,9278.0,11499.0,188.0,3.0,5.0
156,7,24.0,185.0,37230.0,2095.0,6.0,254.0
156,8,18.0,117.0,2582.0,881.0,9.0,107.0
156,9,16.0,96.0,29241.0,370.0,4.0,14.0
156,10,14.0,92.0,16962.0,486.0,29.0,12483.0
156,11,9.0,215.0,772.0,684.0,8.0,28319.0
156,12,11.0,225.0,29693.0,29032.0,7.0,327.0
156,13,7.0,155.0,1527.0,700.0,5.0,99.0
156,14,12297.0,121.0,586.0,302.0,1.0,45.0
156,15,1759.0,126.0,689.0,13384.0,1.0,17.0
156,16,112.0,134.0,20936.0,12226.0,12.0,8.0
156,17,16874.0,286.0,21416.0,273.0,5.0,2.0
156,18,32.0,92.0,405.0,213.0,3.0,4.0
156,19,10.0,105.0,4400.0,203.0,1.0,3.0
156,20,7.0,42.0,6478.0,118.0,0.0,6.0
156,21,3.0,2.0,35.0,26.0,0.0,2.0
