term,cnt
落子无悔,48626
人生如棋,47907
恭送何仙师,20576
乱披风锤法,12474
念头通达,11726
太痛了,10822
韩立,313
泪目,239
哈哈哈,204
生老病死,199
红尘劫,195
无悔,141
彩环,135
哈哈哈哈,130
好师傅,130
哈哈,126
泪目了,122
八十,121
封神,119
生死意境,112
哭了,110
墨彩环,100
感谢制作组,98
天若有情天亦,88
韩老魔,87
前方高能,85
大道无情,81
看哭了,80
哈哈哈哈哈,79
哈哈哈哈哈哈,79
乱披风,73
你知道的太多,73
遁出红尘,72
我悟了,68
人生如棋落子,66
这就是红尘劫,65
呜呜呜,62
悟了,60
绝了,55
化凡,55
轮回,51
升华了,50
这集封神,49
小龙,48
庚金,46
韩跑跑,46
人生百年,46
好好好,45
80,45
老魔,44
启动,43
全文背诵,42
牛逼,40
乱我道心,40
彩环啊,39
666,39
好家伙,38
仙凡有别,38
我哭死,37
凡人,37
好一个落子无,37
人间真龙韩跑,37
太棒了,36
我的彩环,35
无敌,35
哭死,34
上号,34
细节,34
bgm,33
谢谢你出现在,33
人间正道是沧,33
笑死我了,33
长胡子了,33
痛太痛了,33
炖煮红尘,32
有胡子了,32
胜天半子,32
奸商师叔,31
痛啊,31
何仙师,31
