term,cnt
回复,1518
doge,1068
笑哭,660
call,621
凡人修仙传收,478
藏集,478
大哭,472
星星眼,367
金箍,355
吃瓜,255
来了,177
脱单,144
14,131
滑稽,111
给心心,110
凡人修仙传,106
猫咪公寓,102
韩立,100
支持,97
喜极而泣,94
生气,86
太短了,84
呲牙,82
温天仁,81
嗑瓜子,80
点赞,76
微笑,75
蹲蹲,75
念头通达,73
第一,71
太帅了,67
思考,61
辣眼睛,61
来了来了,60
好看,59
妙啊,58
大笑,57
tv,57
喜欢,57
打卡,57
OK,54
13,51
蛆音娘,51
啊啊啊啊啊啊,50
不够看,50
送花,49
生气了,46
buff,45
太好看了,44
比心,43
太爽了,41
热词系列,40
11,39
确实,39
歪嘴,39
哈哈,39
加油,39
不够看啊,38
哈哈哈,35
藏狐,34
137,33
12,33
冒头,33
法宝,32
不是,32
666,32
bili,32
14w,32
牛逼,31
阴魔斩,31
33,31
精彩,30
一集,30
34,30
感谢制作组,29
脸红,29
万了,29
好好好,28
啊啊,28
傲娇,27
