rpid,like,content
258733630273,10128,元婴之下最强一战开启！ 经费爆炸，特效爆炸，效果爆炸！快来夸夸小原，快来夸夸小原啊！！！！ [星星眼][星星眼][星星眼][星星眼][星星眼]
259580090000,8534,现在想来，风希为了风雷翅谋划百年，奎星岛事变直接影响了元瑶跟紫灵，文思月的一生，特别是文思月父亲死了，结果却是通过文思月之口得知巢穴！导致风希直接失败，这因果。风希不冤。。。。
258734411713,4150,我超，确实是开播以来最顶级的斗法，特效渲染比以前舒服多了，分镜也不乱晃了，这观感，太爽了！！！[星星眼][星星眼][星星眼]
259580786640,3685,来了 凡人年番巅峰一战！
258733629601,3677,此时，有一位逆星盟HR轻轻地破防了...... 韩立同款【小绿瓶】众筹火热进行中！更有【风雷翅】系列周边震撼发布！一键get韩立同款法宝>>>https://b23.tv/CFHiXcw
259580024784,3497,200年后。。。 韩立：蛮胡子！当年在虚天殿 对韩某不怀好意，是否也该给个说法！！ 蛮胡子：你当年，不过区区结丹！在下身为元婴，自问没什么不妥！你先已经是大修士了！自然可以向我讨要说法了！
258733498049,3351,温天仁是真的惨，要是鬼雾没来，就要让其他修士看见自己身为魔道巨擘的第一结丹徒弟被一个区区散修拿捏，鬼雾来了的话在里面还要被对方用凡人武功打死
258733763953,3297,总结道友们让温少破防的评论： 我极阴岛韩立什么时候成散修了？看不起我？吃我阴魔斩！[doge] 我南鹤岛历飞羽什么时候成散修了？看不起我？吃我青冥针符宝！[doge] 我奇渊岛历飞羽什么时候成散修了？看不起我？吃我风雷翅！[doge] 我七玄门韩大夫什么时候成散修了？看不起我？吃我拳脚功夫+眨眼剑法！[doge] 我韩某人有的东西，你师尊踮着脚也够不到[doge]
259581584144,2768,太惊艳了，我已经无法用言语来形容了。感谢制作组，凡人有你们来制作是很荣幸的
259582033440,2586,韩立：“温少主 在场的5位修士里面（元瑶 妍丽 韩立 温天仁 紫灵）有四位可在将来晋升大乘修士 你猜猜谁不能晋级？”[呲牙]
259579910928,2429,#凡人修仙传动画# #凡人外海风云# 年番第13集更新 决战金丹 秘法破厄 每周六中午11:00，bilibili独家呈现。道友们快来一键追番！ 仙途再启航！《凡人修仙传》动画全新收藏集上线，与各画师联合打造，全新羁绊之礼，精美海报来袭，更有专属动态音声海报，感受仙风道骨，奇幻仙途，一起开启久别重逢的修仙之旅！ 【https://www.bilibili.com/h5/mall/digital-card/home?-Abrowser=live&act_id=105813&hybrid_set_header=2&lottery_id=105848&f_source=social&from=top_reply】
258734746081,2406,此战战斗分镜、特效渲染均远远超过元婴大战，毫无疑问的3d国漫最强斗法，目前我想不到还有比其他国漫有比这集更好的法术对轰打戏
258735907761,1905,六极真魔功参考了我国五福六极，六极是六种不幸，分别是凶，疾，忧，弱，贫，恶，治疗断臂的就是疾病魔
258734907601,1738,14W同时在线，历史新高度
259581821744,1492,我发现了一座木属性很多的灵山
258734254337,1255,前戏这文戏、台词设计，因果明了，逻辑清晰，智商在线，制作组用心了，真给力！
258733760769,1231,干起来！[doge_金箍]
258733497089,1150,本来还在睡觉，梦到凡人更新了，醒来一看，还真是。[笑哭]
259580085360,1149,乱星海气象观察员偶遇多宝男，法宝尽出无法战胜[嗑瓜子]
259580140432,1120,温天仁怎么也想不到韩立的家底，人界无人能比 掌天瓶：天地初开的第一件玄天仙器，时间和木之本源法则，曾经掌握在各大道祖手上，最差也是在真仙手上 噬金虫：吞噬道祖的万千分身之一，群起而攻之，元婴修士都得退避两分 虚天鼎：乱星海第一秘宝，化神修士冰魄仙子的遗留，乾蓝冰焰，甚至可以炼化元婴 狼首玉如意：里面的妖灵可是真正的化神后期修士，灵界妖族大乘的后人 七十二把青竹蜂云剑：辟邪神雷专克魔功，更别说还是化神功法的配套法宝 风雷翅：曾经的羽族妖王，10级妖兽雷鹏的双翅炼制，遁速无比 更别说其他杂七杂八的法宝了和古宝
