episode_id,emo,cnt,total,ratio
156,laugh,4301,54324,0.07917310949120095
156,neg,6358,54324,0.11703850968264487
156,other,12752,54324,0.23473970988881526
156,praise,23308,54324,0.4290552978425742
156,self_mock,901,54324,0.01658567115823577
156,touching,6704,54324,0.12340770193652897
