episode_id,sec_bin,norm_content,cnt
137,232,霸气,10838
137,234,霸气,9838
137,231,霸气,9324
137,233,霸气,8987
137,63,来了,4799
137,235,霸气,3640
137,64,来了,3113
137,62,来了,2873
137,236,霸气,2474
137,74,来了来了,2377
137,71,来了来了,2220
137,239,霸气,2206
137,242,霸气,2109
137,72,来了来了,2093
137,243,霸气,1909
137,66,来了来了,1718
137,73,来了来了,1693
137,244,霸气,1584
137,76,来了来了,1462
137,241,霸气,1427
137,69,来了来了,1419
137,68,来了来了,1248
137,67,来了来了,1245
137,65,来了来了,1221
137,75,来了来了,1205
137,240,霸气,1080
137,70,来了来了,1062
137,237,霸气,962
137,79,来了来了,947
137,77,来了来了,942
137,238,霸气,873
137,78,来了来了,795
137,230,霸气,574
137,0,念头通达,403
137,1,念头通达,296
137,61,来了,257
137,2,念头通达,216
137,0,来了,209
137,-1,念头通达,163
137,3,念头通达,122
137,1,来了,115
137,4,念头通达,106
137,2,来了,96
137,-1,来了,84
137,6,念头通达,82
137,245,霸气,77
137,5,念头通达,75
137,3,来了,72
137,65,来了,70
137,14,念头通达,66
137,12,念头通达,62
137,11,念头通达,54
137,6,来了,51
137,8,念头通达,51
137,7,念头通达,47
137,13,念头通达,47
137,4,来了,40
137,63,念头通达,40
137,60,来了,35
137,7,来了,34
137,5,来了,33
137,80,来了来了,30
137,66,来了,29
137,10,念头通达,28
137,9,念头通达,26
137,246,霸气,26
137,64,念头通达,24
137,65,念头通达,24
137,66,念头通达,23
137,235,帅,21
137,8,来了,20
137,247,霸气,20
137,62,念头通达,19
137,234,霸气侧漏,19
137,68,来了,18
137,233,帅,18
137,234,帅,18
137,67,来了,17
137,68,念头通达,16
137,104,冰封王座,15
137,67,念头通达,14
137,69,念头通达,14
137,232,帅,14
137,236,帅,14
137,229,霸气,13
137,300,十亿尊魂幡,13
137,69,来了,12
137,71,念头通达,12
137,72,来了,12
137,75,来了,12
137,76,来了,12
137,78,来了,12
137,233,我剑也未尝不利,12
137,302,十亿尊魂幡,12
137,9,来了,11
137,71,来了,11
137,235,霸气侧漏,11
137,440,扶贫,11
137,74,来了,10
137,105,冰封王座,10
137,235,太帅了,10
137,250,霸气,10
137,301,十亿尊魂幡,10
137,398,自古对波左边输,10
137,530,盖亚,10
137,70,来了,9
137,73,来了,9
137,74,念头通达,9
137,106,优雅,9
137,107,冰封王座,9
137,107,这么装,9
137,108,冰封王座,9
137,233,霸气侧漏,9
137,236,霸气侧漏,9
137,237,帅,9
137,70,念头通达,8
137,72,念头通达,8
137,77,来了,8
137,106,冰封王座,8
137,106,逼王,8
137,108,b王,8
137,231,帅,8
137,232,霸气侧漏,8
137,234,好好好,8
137,303,十亿尊魂幡,8
137,96,回不来了,7
137,107,排面,7
137,108,逼王,7
137,228,霸气,7
137,230,帅,7
137,233,太帅了,7
137,234,太帅了,7
137,237,好好好,7
137,248,霸气,7
137,249,霸气,7
137,407,秒了,7
137,529,盖亚,7
137,76,念头通达,6
137,79,来了,6
137,106,逼格拉满,6
137,107,b王,6
137,107,逼王,6
137,109,b王,6
137,109,逼王,6
137,184,关心则乱,6
137,221,给你机会你不中用啊,6
137,229,帅,6
137,230,我避他锋芒,6
137,234,我避他锋芒,6
137,236,好好好,6
137,300,万魂幡,6
137,303,尊魂幡,6
137,360,针尖对麦芒,6
137,393,阴魔斩,6
137,441,扶贫,6
