episode_id,minute,laugh,neg,other,praise,self_mock,touching
86,-1,0.0,2.0,9.0,139.0,0.0,0.0
86,0,7.0,33.0,222.0,11356.0,0.0,9.0
86,1,4.0,14.0,64.0,135.0,0.0,0.0
86,2,41.0,123.0,893.0,459.0,0.0,1.0
86,3,259.0,353.0,13993.0,336.0,13.0,1.0
86,4,187.0,213.0,955.0,393.0,0.0,13.0
86,5,25.0,259.0,1099.0,341.0,0.0,18.0
86,6,7.0,225.0,685.0,148.0,0.0,2.0
86,7,65.0,395.0,1512.0,280.0,0.0,3.0
86,8,88.0,301.0,936.0,348.0,0.0,12.0
86,9,50.0,551.0,1210.0,476.0,0.0,47.0
86,10,31.0,309.0,671.0,282.0,2.0,27.0
86,11,10.0,411.0,1031.0,370.0,0.0,93.0
86,12,42.0,274.0,856.0,220.0,0.0,25.0
86,13,2.0,143.0,641.0,224.0,4.0,47.0
86,14,5.0,418.0,1214.0,624.0,3.0,206.0
86,15,11.0,264.0,48762.0,850.0,0.0,197.0
86,16,10.0,287.0,22056.0,509.0,1.0,58.0
86,17,5.0,472.0,1030.0,237.0,0.0,91.0
86,18,4.0,777.0,1373.0,692.0,0.0,11193.0
86,19,0.0,78.0,134.0,157.0,0.0,57.0
86,20,0.0,24.0,31.0,14.0,0.0,12.0
