episode_id,func,cnt,total,ratio
86,emo_like,19131,136881,0.1397637363841585
86,emo_touching,12086,136881,0.08829567288374573
86,other,104216,136881,0.7613620590147646
86,quote_ritual,227,136881,0.001658374792703151
86,ritual_call,597,136881,0.004361452648651018
86,role_label,419,136881,0.003061053031465287
86,viewing_status,205,136881,0.0014976512445116562
